athlete,date,location,type,distance_mi,duration_h,moving_h,alt_median_ft,alt_gain_ft,temp_avg_f,avg_hr,max_hr,hr_p995,avg_w,np_w,kj,vi,ef,device_ftp,p5s,p1m,p5m,p10m,p20m,p60m,vo2_est,hr_at_120w,n_120,hr_at_150w,n_150,decoupling_pct,hrr60,hrr_from,hrr_n,cad_avg,cad_pct_ge85,pct_below_lt1,pct_aero_tempo,pct_threshold,pct_supra,has_power,file
JA,2025-09-03,Park City,MTB,9.0,1.36,0.83,6616.0,4301.0,91.0,153.0,180.0,179.0,126.0,199.0,619.0,1.58,1.305,237.0,500.0,312.0,254.0,214.0,160.0,139.0,37.3,154.0,62,159.0,163,-1.2,28.0,158.0,6,72.0,22.0,19.0,34.0,25.0,21.0,1,2025-09-03 Park City MTB 9mi.fit
JA,2025-09-07,Park City,MTB,15.0,4.65,1.64,7825.0,5703.0,75.0,147.0,180.0,179.0,116.0,192.0,1221.0,1.66,1.302,237.0,856.0,340.0,240.0,230.0,226.0,202.0,35.6,166.0,245,170.0,470,4.5,32.0,171.0,7,69.0,11.0,37.0,19.0,7.0,36.0,1,2025-09-07 Park City MTB 15mi.fit
JA,2025-09-08,Park City,MTB,18.0,2.77,1.47,6807.0,5097.0,84.0,147.0,174.0,173.0,128.0,204.0,1116.0,1.59,1.392,237.0,669.0,319.0,241.0,236.0,233.0,182.0,35.7,148.0,190,150.0,350,-0.4,28.0,156.0,7,74.0,32.0,34.0,38.0,14.0,15.0,1,2025-09-08 Park City MTB 18mi.fit
JA,2025-09-08,Park City,MTB,4.0,0.82,0.48,6480.0,3252.0,81.0,111.0,131.0,130.0,52.0,105.0,152.0,2.02,0.944,237.0,429.0,154.0,100.0,82.0,60.0,,18.9,121.0,127,,0,-12.9,,,0,55.0,1.0,100.0,0.0,0.0,0.0,1,2025-09-08 Park City MTB 4mi.fit
JA,2025-09-12,Park City,MTB,5.0,0.57,0.36,6754.0,3561.0,63.0,162.0,179.0,178.0,132.0,218.0,268.0,1.65,1.35,237.0,527.0,341.0,249.0,198.0,156.0,,36.7,,0,168.0,61,-19.0,16.0,175.0,3,74.0,32.0,4.0,23.0,34.0,39.0,1,2025-09-12 Park City MTB 5mi.fit
JA,2025-09-12,Park City,MTB,6.0,0.57,0.42,6793.0,3533.0,70.0,160.0,181.0,180.0,147.0,211.0,300.0,1.44,1.317,237.0,493.0,339.0,248.0,234.0,199.0,,36.5,167.0,60,165.0,119,-19.8,32.0,175.0,3,75.0,37.0,10.0,23.0,23.0,44.0,1,2025-09-12 Park City MTB 6mi.fit
JA,2025-09-16,Park City,MTB,2.0,0.64,0.15,6769.0,3255.0,68.0,,,,25.0,94.0,57.0,3.76,,237.0,592.0,143.0,52.0,36.0,31.0,,13.2,,0,,0,,,,0,51.0,2.0,,,,,1,2025-09-16 Park City MTB 2mi.fit
JA,2025-09-17,Park City,MTB,12.0,1.64,1.16,7669.0,4960.0,63.0,153.0,177.0,175.0,142.0,201.0,827.0,1.42,1.314,237.0,848.0,336.0,207.0,204.0,195.0,183.0,31.7,159.0,178,158.0,450,-0.4,28.0,162.0,5,71.0,18.0,14.0,31.0,45.0,10.0,1,2025-09-17 Park City MTB 12mi.fit
JA,2025-09-18,Park City,MTB,14.0,1.81,1.29,7939.0,5401.0,75.0,162.0,182.0,180.0,161.0,214.0,1000.0,1.33,1.323,237.0,930.0,318.0,247.0,241.0,233.0,203.0,36.4,169.0,99,170.0,318,-4.6,14.0,160.0,4,77.0,34.0,4.0,31.0,10.0,55.0,1,2025-09-18 Park City MTB 14mi.fit
JA,2025-10-13,Park City,MTB,6.0,1.13,0.65,7548.0,4414.0,66.0,158.0,183.0,183.0,141.0,214.0,532.0,1.52,1.351,237.0,530.0,314.0,221.0,211.0,204.0,136.0,33.4,163.0,86,166.0,135,-1.8,28.0,174.0,6,70.0,14.0,5.0,37.0,23.0,35.0,1,2025-10-13 Park City MTB 6mi.fit
JA,2025-11-03,Park City,MTB,12.0,1.63,1.21,7608.0,4947.0,48.0,168.0,186.0,185.0,150.0,195.0,852.0,1.3,1.16,237.0,1144.0,276.0,232.0,212.0,199.0,175.0,34.7,173.0,205,174.0,555,5.2,22.0,177.0,4,70.0,13.0,4.0,13.0,14.0,69.0,1,2025-11-03 Park City MTB 12mi.fit
JA,2025-11-13,Park City,MTB,5.0,0.69,0.42,6767.0,3552.0,72.0,163.0,184.0,184.0,135.0,208.0,328.0,1.54,1.279,237.0,541.0,335.0,254.0,231.0,190.0,,37.3,167.0,67,164.0,83,-20.9,18.0,166.0,3,72.0,20.0,6.0,24.0,20.0,49.0,1,2025-11-13 Park City MTB 5mi.fit
JA,2025-11-15,Park City,MTB,10.0,1.77,0.0,7158.0,4549.0,64.0,167.0,186.0,186.0,,,,,,,,,,,,,,,0,,0,,22.0,180.0,3,,,2.0,22.0,14.0,62.0,0,2025-11-15 Park City MTB 10mi.fit
JA,2025-11-24,Park City,MTB,1.0,0.17,0.05,6529.0,3130.0,59.0,155.0,174.0,173.0,75.0,173.0,46.0,2.31,1.115,237.0,428.0,270.0,137.0,69.0,,,23.3,,0,,0,,17.0,158.0,2,68.0,11.0,0.0,56.0,20.0,24.0,1,2025-11-24 Park City MTB 1mi.fit
JA,2025-11-24,Park City,MTB,6.0,1.14,0.68,7051.0,3993.0,57.0,159.0,183.0,183.0,119.0,198.0,474.0,1.66,1.243,237.0,548.0,244.0,194.0,183.0,164.0,116.0,30.2,166.0,143,164.0,318,2.8,31.0,159.0,6,58.0,5.0,7.0,27.0,31.0,35.0,1,2025-11-24 Park City MTB 6mi.fit
JA,2026-02-03,Park City,MTB,22.0,3.1,1.79,6454.0,4898.0,45.0,154.0,172.0,171.0,164.0,196.0,1248.0,1.2,1.271,237.0,761.0,274.0,230.0,220.0,209.0,177.0,34.4,156.0,281,157.0,857,-5.2,30.0,158.0,5,77.0,17.0,9.0,40.0,32.0,18.0,1,2026-02-03 Park City MTB 22mi.fit
JA,2026-02-05,Park City,MTB,14.0,1.57,1.15,6776.0,4913.0,55.0,157.0,179.0,178.0,169.0,223.0,880.0,1.32,1.42,237.0,823.0,335.0,247.0,232.0,208.0,175.0,36.5,158.0,97,160.0,315,-3.7,32.0,162.0,4,71.0,7.0,10.0,30.0,33.0,27.0,1,2026-02-05 Park City MTB 14mi.fit
JA,2026-02-10,Park City,MTB,12.0,1.35,1.18,6851.0,5028.0,36.0,159.0,181.0,180.0,185.0,224.0,890.0,1.21,1.407,237.0,573.0,342.0,264.0,244.0,219.0,196.0,38.5,157.0,199,156.0,282,2.8,30.0,172.0,3,68.0,5.0,5.0,35.0,25.0,36.0,1,2026-02-10 Park City MTB 12mi.fit
JA,2026-03-23,Park City,MTB,15.0,1.59,1.26,6800.0,4218.0,72.0,,,,148.0,205.0,844.0,1.39,,237.0,736.0,354.0,262.0,243.0,190.0,156.0,38.2,,0,,0,,,,0,65.0,12.0,,,,,1,2026-03-23 Park City MTB 15mi.fit
JA,2026-03-23,Park City,MTB,3.0,0.76,0.2,6746.0,3325.0,75.0,,,,26.0,80.0,71.0,3.08,,237.0,232.0,186.0,73.0,50.0,45.0,,15.7,,0,,0,,,,0,50.0,0.0,,,,,1,2026-03-23 Park City MTB 3mi.fit
JA,2026-03-24,Park City,MTB,23.0,2.7,0.0,6807.0,5067.0,84.0,156.0,178.0,177.0,,,,,,,,,,,,,,,0,,0,,,,0,,,3.0,45.0,42.0,10.0,0,2026-03-24 Park City MTB 23mi.fit
JA,2026-03-26,Park City,MTB,15.0,2.21,1.29,6764.0,4410.0,70.0,146.0,175.0,173.0,120.0,186.0,857.0,1.55,1.273,237.0,668.0,374.0,252.0,226.0,187.0,145.0,37.1,154.0,229,158.0,372,11.3,42.0,160.0,4,65.0,14.0,32.0,31.0,29.0,8.0,1,2026-03-26 Park City MTB 15mi.fit
JA,2026-03-26,Park City,MTB,2.0,0.55,0.1,6655.0,3172.0,55.0,137.0,158.0,158.0,145.0,202.0,70.0,1.39,1.469,237.0,420.0,273.0,162.0,81.0,41.0,,26.3,,0,,0,-2.3,23.0,158.0,1,72.0,11.0,48.0,43.0,9.0,0.0,1,2026-03-26 Park City MTB 2mi.fit
JA,2026-03-26,Park City,MTB,6.0,0.82,0.57,6815.0,3748.0,52.0,152.0,175.0,174.0,158.0,193.0,384.0,1.22,1.269,237.0,573.0,280.0,210.0,205.0,164.0,,32.0,152.0,115,153.0,176,-6.6,16.0,158.0,3,62.0,10.0,9.0,54.0,27.0,10.0,1,2026-03-26 Park City MTB 6mi.fit
JA,2026-03-28,Park City,MTB,10.0,1.08,0.83,6800.0,4509.0,66.0,156.0,177.0,177.0,171.0,223.0,643.0,1.3,1.428,237.0,996.0,322.0,249.0,219.0,201.0,178.0,36.7,156.0,111,157.0,248,5.6,30.0,158.0,4,79.0,38.0,10.0,31.0,31.0,29.0,1,2026-03-28 Park City MTB 10mi.fit
JA,2026-03-28,Park City,MTB,2.0,0.64,0.21,6611.0,3294.0,82.0,,,,71.0,141.0,103.0,1.99,,237.0,461.0,231.0,129.0,73.0,59.0,,22.4,,0,,0,,,,0,61.0,10.0,,,,,1,2026-03-28 Park City MTB 2mi.fit
JA,2026-03-28,Park City,MTB,9.0,1.18,0.85,6782.0,3919.0,86.0,158.0,176.0,175.0,143.0,189.0,556.0,1.32,1.195,237.0,560.0,289.0,230.0,198.0,189.0,143.0,34.5,161.0,151,166.0,340,-15.3,20.0,160.0,5,79.0,46.0,8.0,26.0,28.0,38.0,1,2026-03-28 Park City MTB 9mi.fit
JA,2026-03-30,Park City,MTB,27.0,3.05,2.45,6941.0,5819.0,70.0,148.0,178.0,176.0,141.0,176.0,1475.0,1.25,1.189,237.0,660.0,311.0,226.0,197.0,186.0,164.0,33.9,143.0,748,143.0,2023,8.6,38.0,167.0,3,75.0,18.0,24.0,46.0,19.0,10.0,1,2026-03-30 Park City MTB 27mi.fit
JA,2026-04-08,Memphis,Road,21.0,1.41,0.0,288.0,571.0,75.0,146.0,168.0,166.0,,,,,,,,,,,,,,,0,,0,,,,0,,,16.0,79.0,4.0,1.0,0,2026-04-08 Memphis Road 21mi.fit
JA,2026-04-09,Memphis,Road,14.0,0.92,0.0,311.0,477.0,77.0,145.0,159.0,158.0,,,,,,,,,,,,,,,0,,0,,,,0,,,15.0,83.0,1.0,0.0,0,2026-04-09 Memphis Road 14mi.fit
JA,2026-04-10,Memphis,Road,35.0,2.37,0.0,297.0,757.0,79.0,148.0,169.0,166.0,,,,,,,,,,,,,,,0,,0,,,,0,,,12.0,75.0,13.0,1.0,0,2026-04-10 Memphis Road 35mi.fit
JA,2026-04-11,Memphis,Road,16.0,1.18,0.0,280.0,453.0,82.0,135.0,165.0,163.0,,,,,,,,,,,,,,,0,,0,,,,0,,,74.0,24.0,2.0,0.0,0,2026-04-11 Memphis Road 16mi.fit
JA,2026-04-12,Memphis,Road,56.0,3.93,0.0,366.0,2270.0,81.0,153.0,184.0,174.0,,,,,,,,,,,,,,,0,,0,,,,0,,,7.0,51.0,35.0,8.0,0,2026-04-12 Memphis Road 56mi.fit
