date,location,type,distance_mi,duration_h,alt_median_ft,alt_gain_ft,temp_avg_f,temp_max_f,avg_hr,max_hr,avg_w,np_w,if_,tss,vi,ef,hr_at_120w,n_120,hr_at_150w,n_150,adj_hr120,decoupling_pct,cad_avg,cad_pct_ge85,pct_below_lt1,pct_aero_tempo,pct_threshold,pct_supra,has_power,file
2026-04-18,Park City,MTB,18.0,2.29,6807.0,5075.0,61.0,73.0,165.0,182.0,159.0,203.0,0.856,155.1,1.28,1.229,167.0,163,169.0,449,150.0,-5.4,74.0,24.0,5.0,13.0,23.0,60.0,1,2026-04-18 Park City MTB 18mi.fit
2026-04-19,Park City,MTB,2.0,0.6,6636.0,3312.0,72.0,75.0,,,45.0,144.0,0.606,21.7,3.2,,,0,,0,,,57.0,0.0,,,,,1,2026-04-19 Park City MTB 2mi.fit
2026-04-20,Park City,MTB,18.0,2.2,6748.0,4951.0,77.0,88.0,166.0,182.0,141.0,178.0,0.753,120.2,1.26,1.074,164.0,312,169.0,665,147.0,-12.6,72.0,15.0,4.0,15.0,21.0,59.0,1,2026-04-20 Park City MTB 18mi.fit
2026-05-04,Park City,MTB,9.0,1.05,6658.0,3748.0,68.0,77.0,143.0,164.0,120.0,165.0,0.697,50.8,1.38,1.158,145.0,162,147.0,331,129.0,-13.3,64.0,7.0,35.0,56.0,9.0,0.0,1,2026-05-04 Park City MTB 9mi.fit
2026-05-07,Park City,MTB,8.0,2.04,7702.0,4581.0,66.0,77.0,159.0,182.0,126.0,165.0,0.698,71.9,1.31,1.035,158.0,334,162.0,551,139.0,-11.2,65.0,7.0,3.0,29.0,43.0,25.0,1,2026-05-07 Park City MTB 8mi.fit
2026-05-08,Park City,MTB,14.0,3.17,6798.0,5077.0,81.0,88.0,147.0,170.0,120.0,168.0,0.707,113.1,1.4,1.146,148.0,522,151.0,846,131.0,2.6,65.0,7.0,21.0,61.0,15.0,3.0,1,2026-05-08 Park City MTB 14mi.fit
2026-05-19,Park City,MTB,13.0,2.03,6244.0,4349.0,63.0,79.0,142.0,168.0,119.0,156.0,0.659,86.6,1.31,1.101,144.0,635,145.0,1137,128.0,-3.1,68.0,9.0,36.0,56.0,8.0,1.0,1,2026-05-19 Park City MTB 13mi.fit
2026-05-20,Park City,MTB,9.0,1.3,6773.0,3810.0,68.0,75.0,143.0,171.0,103.0,169.0,0.713,62.3,1.64,1.18,146.0,203,149.0,292,129.0,-0.2,65.0,14.0,35.0,51.0,13.0,2.0,1,2026-05-20 Park City MTB 9mi.fit
2026-05-21,Park City,MTB,20.0,3.65,6964.0,5336.0,68.0,81.0,147.0,174.0,109.0,170.0,0.716,143.0,1.56,1.158,146.0,562,149.0,858,129.0,8.1,65.0,11.0,24.0,54.0,15.0,6.0,1,2026-05-21 Park City MTB 20mi.fit
2026-05-24,Park City,MTB,42.0,4.15,6459.0,4796.0,86.0,95.0,145.0,175.0,113.0,144.0,0.61,142.9,1.27,0.996,146.0,1183,149.0,2188,130.0,-11.3,72.0,20.0,33.0,43.0,15.0,9.0,1,2026-05-24 Park City MTB 42mi.fit
2026-05-26,Park City,MTB,20.0,1.88,6532.0,3932.0,61.0,66.0,123.0,136.0,129.0,141.0,0.594,64.5,1.09,1.147,123.0,1122,126.0,2015,107.0,-0.0,74.0,7.0,100.0,0.0,0.0,0.0,1,2026-05-26 Park City MTB 20mi.fit
2026-05-27,Park City,MTB,1.0,0.5,6640.0,3285.0,81.0,84.0,,,97.0,130.0,0.547,6.7,1.34,,,0,,0,,,58.0,2.0,,,,,1,2026-05-27 Park City MTB 1mi.fit
2026-05-27,Park City,MTB,5.0,0.78,6619.0,3585.0,68.0,79.0,,,159.0,217.0,0.917,50.9,1.36,,,0,,0,,,70.0,24.0,,,,,1,2026-05-27 Park City MTB 5mi.fit
2026-05-28,Park City,MTB,7.0,1.18,7427.0,4387.0,66.0,73.0,153.0,179.0,149.0,199.0,0.84,74.2,1.34,1.301,159.0,166,160.0,380,140.0,-3.2,69.0,15.0,19.0,19.0,47.0,16.0,1,2026-05-28 Park City MTB 7mi.fit
